CustomerID,Count,Country,State,City,Zip Code,Lat Long,Latitude,Longitude,Gender,Senior Citizen,Partner,Dependents,Tenure Months,Phone Service,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Monthly Charges,Total Charges,Churn Label,Churn Value,Churn Score,CLTV,Churn Reason,TotalCharges,MonthlyCharges,tenure,customerID,Churn,PaymentMethod,InternetService,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,SeniorCitizen
5299-RULOA,1,United States,California,Whittier,90606,"33.976678, -118.065875",33.976678,-118.065875,Female,No,Yes,Yes,10,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.25,1064.65,Yes,1,87,5998,Price too high,1064.65,100.25,10,5299-RULOA,Yes,Electronic check,Fiber optic,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No
0404-SWRVG,1,United States,California,La Habra,90631,"33.940619, -117.9513",33.940619,-117.9513,Male,No,No,Yes,3,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.4,229.55,Yes,1,76,4415,Product dissatisfaction,229.55,74.4,3,0404-SWRVG,Yes,Electronic check,Fiber optic,Yes,Yes,No,No,No,No,No,No,Yes,No
4412-YLTKF,1,United States,California,Pico Rivera,90660,"33.989524, -118.089299",33.989524,-118.089299,Female,Yes,No,Yes,27,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,78.05,2135.5,Yes,1,95,4638,Service dissatisfaction,2135.5,78.05,27,4412-YLTKF,Yes,Electronic check,Fiber optic,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes
6207-WIOLX,1,United States,California,Avalon,90704,"33.391181, -118.421305",33.391181,-118.421305,Female,No,Yes,No,25,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),58.6,1502.65,Yes,1,99,4190,Lack of self-service on Website,1502.65,58.6,25,6207-WIOLX,Yes,Credit card (automatic),DSL,No,No phone service,Yes,Yes,Yes,No,Yes,Yes,Yes,No
3091-FYHKI,1,United States,California,Harbor City,90710,"33.798266, -118.300237",33.798266,-118.300237,Male,No,No,No,1,No,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,35.45,35.45,Yes,1,80,2301,Network reliability,35.45,35.45,1,3091-FYHKI,Yes,Electronic check,DSL,No,No phone service,No,No,No,No,No,Yes,Yes,No
2372-HWUHI,1,United States,California,Lakewood,90712,"33.840524, -118.148403",33.840524,-118.148403,Male,No,No,No,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,44.35,81.25,Yes,1,76,2570,Don't know,81.25,44.35,2,2372-HWUHI,Yes,Electronic check,DSL,Yes,No,No,No,No,No,No,No,No,No
0390-DCFDQ,1,United States,California,Los Alamitos,90720,"33.79499, -118.065591",33.79499,-118.065591,Female,Yes,Yes,Yes,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,70.45,70.45,Yes,1,76,3964,Don't know,70.45,70.45,1,0390-DCFDQ,Yes,Mailed check,Fiber optic,Yes,No,No,No,No,No,No,No,Yes,Yes
4080-OGPJL,1,United States,California,San Pedro,90731,"33.736387, -118.284363",33.736387,-118.284363,Female,No,No,No,8,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,71.15,563.65,Yes,1,66,2662,Don't know,563.65,71.15,8,4080-OGPJL,Yes,Electronic check,DSL,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No
2135-RXIHG,1,United States,California,Carson,90745,"33.822295, -118.26411",33.822295,-118.26411,Male,No,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,45.65,45.65,Yes,1,73,2600,Poor expertise of online support,45.65,45.65,1,2135-RXIHG,Yes,Electronic check,DSL,Yes,No,No,No,No,No,No,No,Yes,No
3874-EQOEP,1,United States,California,Long Beach,90804,"33.783047, -118.1486",33.783047,-118.1486,Male,No,No,Yes,7,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,95,655.5,Yes,1,94,2786,Poor expertise of phone support,655.5,95,7,3874-EQOEP,Yes,Mailed check,Fiber optic,Yes,Yes,No,No,No,No,Yes,Yes,No,No
0867-MKZVY,1,United States,California,Altadena,91001,"34.196837, -118.142236",34.196837,-118.142236,Female,No,Yes,Yes,20,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,82.4,1592.35,Yes,1,86,5719,Price too high,1592.35,82.4,20,0867-MKZVY,Yes,Electronic check,Fiber optic,Yes,Yes,Yes,No,No,No,No,No,No,No
3376-BMGFE,1,United States,California,Monrovia,91016,"34.1528, -118.000482",34.1528,-118.000482,Female,No,No,Yes,4,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),70.9,273,Yes,1,75,4287,Product dissatisfaction,273,70.9,4,3376-BMGFE,Yes,Bank transfer (automatic),Fiber optic,Yes,No,No,No,No,No,No,No,Yes,No
3445-HXXGF,1,United States,California,Sierra Madre,91024,"34.168686, -118.057505",34.168686,-118.057505,Male,Yes,Yes,No,58,No,No phone service,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,45.3,2651.2,Yes,1,100,5444,Service dissatisfaction,2651.2,45.3,58,3445-HXXGF,Yes,Electronic check,DSL,No,No phone service,No,Yes,Yes,No,No,Yes,Yes,Yes
1875-QIVME,1,United States,California,Tujunga,91042,"34.296574, -118.244839",34.296574,-118.244839,Female,No,Yes,Yes,2,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.4,242.8,Yes,1,83,4690,Lack of self-service on Website,242.8,104.4,2,1875-QIVME,Yes,Electronic check,Fiber optic,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No
0691-JVSYA,1,United States,California,Pasadena,91103,"34.167465, -118.165327",34.167465,-118.165327,Female,No,Yes,No,53,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),94.85,5000.2,Yes,1,80,4328,Network reliability,5000.2,94.85,53,0691-JVSYA,Yes,Bank transfer (automatic),Fiber optic,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No
2656-FMOKZ,1,United States,California,Pasadena,91106,"34.139402, -118.128658",34.139402,-118.128658,Female,Yes,No,Yes,15,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,74.45,1145.7,Yes,1,99,5717,Limited range of services,1145.7,74.45,15,2656-FMOKZ,Yes,Mailed check,Fiber optic,Yes,Yes,No,No,No,No,No,No,Yes,Yes
2070-FNEXE,1,United States,California,Pasadena,91107,"34.159007, -118.087353",34.159007,-118.087353,Female,Yes,No,Yes,7,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),76.45,503.6,Yes,1,81,4419,Lack of affordable download/upload speed,503.6,76.45,7,2070-FNEXE,Yes,Bank transfer (automatic),Fiber optic,Yes,No,Yes,No,No,No,No,No,No,Yes
6317-YPKDH,1,United States,California,Glendale,91202,"34.167926, -118.267539",34.167926,-118.267539,Female,No,No,No,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),29.95,29.95,Yes,1,95,4534,Long distance charges,29.95,29.95,1,6317-YPKDH,Yes,Bank transfer (automatic),DSL,No,No phone service,No,Yes,No,No,No,No,No,No
9367-WXLCH,1,United States,California,Glendale,91204,"34.136306, -118.26036",34.136306,-118.26036,Male,No,No,Yes,8,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),84.5,662.65,Yes,1,86,2152,Extra data charges,662.65,84.5,8,9367-WXLCH,Yes,Bank transfer (automatic),Fiber optic,Yes,Yes,No,No,No,No,No,Yes,No,No
1918-ZBFQJ,1,United States,California,Glendale,91206,"34.162515, -118.203869",34.162515,-118.203869,Female,No,No,Yes,13,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,79.25,1111.65,Yes,1,73,5142,Price too high,1111.65,79.25,13,1918-ZBFQJ,Yes,Electronic check,Fiber optic,Yes,No,No,Yes,Yes,No,No,No,Yes,No
1024-GUALD,1,United States,California,Glendale,91207,"34.182378, -118.262922",34.182378,-118.262922,Female,No,Yes,No,1,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,24.8,24.8,Yes,1,94,4851,Product dissatisfaction,24.8,24.8,1,1024-GUALD,Yes,Electronic check,DSL,No,No phone service,No,No,No,No,No,No,Yes,No
2472-OVKUP,1,United States,California,Canoga Park,91304,"34.224377, -118.632656",34.224377,-118.632656,Male,No,Yes,Yes,6,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,91,531,Yes,1,94,2283,Service dissatisfaction,531,91,6,2472-OVKUP,Yes,Electronic check,Fiber optic,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No
1285-OKIPP,1,United States,California,Mission Hills,91345,"34.266389, -118.459744",34.266389,-118.459744,Male,No,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,79.9,79.9,Yes,1,98,3394,Lack of self-service on Website,79.9,79.9,1,1285-OKIPP,Yes,Electronic check,Fiber optic,Yes,No,No,No,No,No,No,Yes,No,No
7825-ECJRF,1,United States,California,Santa Clarita,91350,"34.502432, -118.41459",34.502432,-118.41459,Female,No,No,Yes,19,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,106.6,1934.45,Yes,1,71,3764,Network reliability,1934.45,106.6,19,7825-ECJRF,Yes,Electronic check,Fiber optic,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No
7841-TZDMQ,1,United States,California,Sun Valley,91352,"34.231053, -118.338307",34.231053,-118.338307,Male,No,No,No,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),46,84.5,Yes,1,76,2667,Don't know,84.5,46,2,7841-TZDMQ,Yes,Credit card (automatic),DSL,Yes,No,No,No,No,No,No,No,Yes,No
9408-SSNVZ,1,United States,California,Stevenson Ranch,91381,"34.364153, -118.615583",34.364153,-118.615583,Female,No,No,Yes,4,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.15,268.35,Yes,1,67,2227,Don't know,268.35,70.15,4,9408-SSNVZ,Yes,Electronic check,Fiber optic,Yes,No,No,No,No,No,No,No,Yes,No
0742-MOABM,1,United States,California,Panorama City,91402,"34.223768, -118.445461",34.223768,-118.445461,Male,No,Yes,No,4,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,50.05,179.35,Yes,1,82,3394,Don't know,179.35,50.05,4,0742-MOABM,Yes,Mailed check,DSL,Yes,No,No,No,No,Yes,No,No,No,No
2232-DMLXU,1,United States,California,Van Nuys,91411,"34.17847, -118.459472",34.17847,-118.459472,Female,No,Yes,No,1,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,55.2,55.2,Yes,1,81,3638,Poor expertise of online support,55.2,55.2,1,2232-DMLXU,Yes,Mailed check,DSL,Yes,No,No,No,No,No,Yes,No,No,No
8937-RDTHP,1,United States,California,Burbank,91504,"34.213049, -118.317651",34.213049,-118.317651,Male,No,No,Yes,1,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,84.6,84.6,Yes,1,66,2484,Poor expertise of phone support,84.6,84.6,1,8937-RDTHP,Yes,Mailed check,Fiber optic,Yes,No,Yes,No,No,No,No,Yes,Yes,No
1251-KRREG,1,United States,California,North Hollywood,91601,"34.1692, -118.372498",34.1692,-118.372498,Male,No,No,No,2,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,54.4,114.1,Yes,1,81,2556,Price too high,114.1,54.4,2,1251-KRREG,Yes,Mailed check,DSL,Yes,Yes,No,Yes,No,No,No,No,Yes,No
0094-OIFMO,1,United States,California,North Hollywood,91605,"34.207295, -118.400022",34.207295,-118.400022,Female,Yes,No,Yes,11,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95,1120.3,Yes,1,85,5980,Product dissatisfaction,1120.3,95,11,0094-OIFMO,Yes,Electronic check,Fiber optic,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Yes
9947-OTFQU,1,United States,California,Covina,91722,"34.097345, -117.906736",34.097345,-117.906736,Male,Yes,No,No,15,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,74.4,1074.3,Yes,1,86,4616,Service dissatisfaction,1074.3,74.4,15,9947-OTFQU,Yes,Electronic check,Fiber optic,Yes,No,No,Yes,No,No,No,No,Yes,Yes
0322-YINQP,1,United States,California,Covina,91723,"34.084747, -117.886844",34.084747,-117.886844,Male,No,No,No,1,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,48.55,48.55,Yes,1,77,5687,Lack of self-service on Website,48.55,48.55,1,0322-YINQP,Yes,Mailed check,DSL,Yes,No,Yes,No,No,No,No,No,Yes,No
4629-NRXKX,1,United States,California,El Monte,91731,"34.079934, -118.046695",34.079934,-118.046695,Female,No,Yes,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,70.4,147.15,Yes,1,75,5687,Network reliability,147.15,70.4,2,4629-NRXKX,Yes,Electronic check,Fiber optic,Yes,No,No,No,No,No,No,No,No,No
9514-JDSKI,1,United States,California,El Monte,91732,"34.074492, -118.01462",34.074492,-118.01462,Male,Yes,Yes,No,1,No,No phone service,DSL,No,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,40.2,40.2,Yes,1,65,5828,Limited range of services,40.2,40.2,1,9514-JDSKI,Yes,Electronic check,DSL,No,No phone service,No,Yes,No,No,Yes,No,No,Yes
4959-JOSRX,1,United States,California,La Puente,91744,"34.031441, -117.936436",34.031441,-117.936436,Female,No,Yes,No,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),44.6,80.55,Yes,1,99,4884,Lack of affordable download/upload speed,80.55,44.6,2,4959-JOSRX,Yes,Credit card (automatic),DSL,Yes,No,No,No,No,No,No,No,Yes,No
7273-TEFQD,1,United States,California,La Puente,91746,"34.038983, -117.991372",34.038983,-117.991372,Male,Yes,No,No,3,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,41.15,132.2,Yes,1,96,2314,Long distance charges,132.2,41.15,3,7273-TEFQD,Yes,Electronic check,DSL,No,No phone service,No,No,Yes,No,No,Yes,Yes,Yes
3606-TWKGI,1,United States,California,Rowland Heights,91748,"33.976753, -117.897367",33.976753,-117.897367,Male,Yes,No,No,13,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.9,1364.3,Yes,1,84,2494,Extra data charges,1364.3,106.9,13,3606-TWKGI,Yes,Electronic check,Fiber optic,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes
6323-AYBRX,1,United States,California,Ontario,91762,"34.057256, -117.667677",34.057256,-117.667677,Male,No,No,No,59,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.35,1099.6,Yes,1,83,5084,Price too high,1099.6,19.35,59,6323-AYBRX,Yes,Mailed check,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No
